supplier_id,expected_status,scenario
SUP-001,REVIEW,contract-versus-observed-performance
SUP-002,REVIEW,contract-versus-observed-performance
SUP-003,REVIEW,contract-versus-observed-performance
SUP-004,REVIEW,contract-versus-observed-performance
SUP-005,REVIEW,contract-versus-observed-performance
SUP-006,APPROVED,contract-versus-observed-performance
SUP-007,APPROVED,contract-versus-observed-performance
SUP-008,REVIEW,contract-versus-observed-performance
SUP-009,APPROVED,contract-versus-observed-performance
SUP-010,REVIEW,contract-versus-observed-performance
SUP-011,APPROVED,contract-versus-observed-performance
SUP-012,REVIEW,contract-versus-observed-performance
SUP-013,APPROVED,contract-versus-observed-performance
SUP-014,APPROVED,contract-versus-observed-performance
SUP-015,REVIEW,contract-versus-observed-performance
SUP-016,REVIEW,contract-versus-observed-performance
SUP-017,APPROVED,contract-versus-observed-performance
SUP-018,REVIEW,contract-versus-observed-performance
SUP-019,APPROVED,contract-versus-observed-performance
SUP-020,REVIEW,contract-versus-observed-performance
SUP-021,APPROVED,contract-versus-observed-performance
SUP-022,APPROVED,contract-versus-observed-performance
SUP-023,APPROVED,contract-versus-observed-performance
SUP-024,REVIEW,contract-versus-observed-performance
SUP-025,REVIEW,contract-versus-observed-performance
SUP-026,APPROVED,contract-versus-observed-performance
SUP-027,APPROVED,contract-versus-observed-performance
SUP-028,REVIEW,contract-versus-observed-performance
SUP-029,APPROVED,contract-versus-observed-performance
SUP-030,REVIEW,contract-versus-observed-performance
SUP-031,APPROVED,contract-versus-observed-performance
SUP-032,REVIEW,contract-versus-observed-performance
SUP-033,APPROVED,contract-versus-observed-performance
SUP-034,APPROVED,contract-versus-observed-performance
SUP-035,REVIEW,contract-versus-observed-performance
